"anchor_sid","anchor_paper","anchor_repo","anchor_sim","anchor_is_blueprint_gold","anchor_lean_annotation","k1_total","k1_resolved","k1_annotated_only","k1_matched_only","k1_none","k2_total","k2_resolved","k2_annotated_only","k2_matched_only","k2_none","k1_unformalized_examples"
"906e0c4e-08a3-4829-b81c-e034cb8dfbf4","Carleson operators on doubling metric measure spaces","fpvandoorn/carleson","0.8478580713272095","False","real_van_der_Corput","4","4","0","0","0","20","19","0","0","1","[]"
"a15c18b2-b385-4778-a385-0c409810ea19","The sphere eversion project","leanprover-community/sphere-eversion","0.847827672958374","True","oneJetExt","0","0","0","0","0","0","0","0","0","0","[]"
"6019034c-46f7-424d-b4f2-4d2b5fbbdfd8","Fermat's Last Theorem","ImperialCollegeLondon/FLT","0.8475162982940674","False","NumberField.AdeleRing.instIsModuleTopology","2","2","0","0","0","2","2","0","0","0","[]"
"f9dd0b89-b1e6-420a-9e59-522539ed49f6","The Polynomial Freiman-Ruzsa Conjecture","teorth/pfr","0.8474407196044922","True","multidist_eq_zero","10","10","0","0","0","68","67","0","0","1","[]"
"d61d35cd-03d5-433c-8e60-d14adededdfe","Toric varieties","YaelDillies/toric","0.8474136590957642","True","AlgebraicGeometry.Scheme.cocharDiag","4","4","0","0","0","16","10","0","0","6","[]"
"fb7a2a87-c44e-4897-a546-48985ca6d9aa","The Polynomial Freiman-Ruzsa Conjecture","teorth/pfr","0.8472045660018921","True","exists_isUniform_of_rdist_eq_zero","12","12","0","0","0","61","60","0","0","1","[]"
"11dd5cca-8369-4ec2-9030-8310184ad88a","Carleson operators on doubling metric measure spaces","fpvandoorn/carleson","0.8471164703369141","False","ball_covering","2","1","0","0","1","7","7","0","0","0","[{""sid"": ""d5019d85-e6bc-4e6e-9876-60657da2afae"", ""ref"": ""10.2.3"", ""label"": ""disjoint-family-countable"", ""kind"": ""lemma"", ""src_paper"": ""Carleson operators on doubling metric measure spaces"", ""body_head"": ""In a doubling metric measure space $(X,\\rho,\\mu, a)$, every disjoint family of balls $B_j = B(x_j, r_j)$, $j\\in J$, is countable.""}]"
"fae596a8-19d6-4d77-9654-5c924dc5a4c7","Brownian motion project","RemyDegenne/brownian-motion","0.8466190099716187","True","ProbabilityTheory.sup_stoppedProcess_leastGE_le","4","3","0","0","1","24","20","1","0","3","[{""sid"": ""20862796-ecfd-4743-90c5-f25dc1da27e0"", ""ref"": ""2.3.62"", ""label"": ""lem:Submartingale.locallyIntegrableSup"", ""kind"": ""lemma"", ""src_paper"": ""Brownian motion project"", ""body_head"": ""\\uses{def:Submartingale, def:locallyIntegrableSup, def:IsCadlag, def:rightContinuous} Every cadlag submartingale for a right-continuous filt""}]"
"be314cc6-f4e6-4d32-9c7b-f5a2928c07d4","Brownian motion project","RemyDegenne/brownian-motion","0.8465094566345215","True","MeasureTheory.IsMeasurableAnalytic.nullMeasurableSet","5","5","0","0","0","8","8","0","0","0","[]"
"9457feee-e89e-4708-873f-d597c0a89722","Class Field Theory","kbuzzard/ClassFieldTheory","0.8463883399963379","False","Representation.coind₁, Rep.coind₁, Rep.ind₁","6","6","0","0","0","13","13","0","0","0","[]"
"49488d02-62b7-4eba-85f7-ca7b01b16f2b","Brownian motion project","RemyDegenne/brownian-motion","0.8463869094848633","False","ProbabilityTheory.covarianceBilin_map","2","2","0","0","0","4","4","0","0","0","[]"
"d8493ece-3634-4c07-a69b-e432bc8d3eec","The sphere eversion project","leanprover-community/sphere-eversion","0.8463436365127563","False","inductive_htpy_construction","2","2","0","0","0","9","9","0","0","0","[]"
"820da3f4-c08e-4dc4-a1de-4480cdf22aca","The Polynomial Freiman-Ruzsa Conjecture","teorth/pfr","0.8460165858268738","False","homomorphism_pfr","4","4","0","0","0","18","17","0","0","1","[]"
"5e79b126-b0ff-42cc-8791-a6dd11c7eaa6","Brownian motion project","RemyDegenne/brownian-motion","0.845872700214386","False","ProbabilityTheory.lintegral_sup_rpow_edist_le_sum_rpow","2","2","0","0","0","15","15","0","0","0","[]"
"86f80163-9b2b-4f99-a3b1-397d27a71f8f","The Polynomial Freiman-Ruzsa Conjecture","teorth/pfr","0.8456992506980896","False","better_PFR_conjecture_aux","8","7","0","0","1","29","28","0","0","1","[{""sid"": ""e718ebc3-30d1-487b-ac6a-729c57b3edd8"", ""ref"": ""13.17"", ""label"": ""rho-init"", ""kind"": ""lemma"", ""src_paper"": ""The Polynomial Freiman-Ruzsa Conjecture"", ""body_head"": ""\\uses{rho-def} We have $\\rho(U_A) = 0$.""}]"
"872dbfb0-e308-45f4-9c8e-b054c43767ce","Class Field Theory","kbuzzard/ClassFieldTheory","0.845492959022522","True","Rep.dimensionShift.δ_up_zero_epi, Rep.dimensionShift.δ_up_isIso, Rep.dimensionShift.δUpIso, Rep.dimensionShift.epi_δ_up_zero_res, Rep.dimensionShift.isIso_δ_up_res, Rep.dimensionShift.δUpResIso, Rep.dimensionShift.δUpNatIso","4","4","0","0","0","14","11","0","0","3","[]"
"2a194a3f-f701-4a0c-a8af-27b0d72b2ae4","Brownian motion project","RemyDegenne/brownian-motion","0.8454806804656982","True","ProbabilityTheory.Martingale.IsLocalMartingale","7","4","1","0","2","56","34","3","0","19","[{""sid"": ""6f0d258d-fc23-494e-8b10-07614a77c1aa"", ""ref"": ""2.7.53"", ""label"": ""lem:dense_simpleProcess"", ""kind"": ""lemma"", ""src_paper"": ""Brownian motion project"", ""body_head"": ""\\uses{def:L2M, def:simpleProcess} The set of simple processes is dense in $L^2(M)$.""}, {""sid"": ""7d19c9f6-1b8c-4ef4-af7f-f675f386814a"", ""ref"": ""2.7.52"", ""label"": ""lem:integral_eq_zero_of_forall_eq_zero"", ""kind"": ""lemma"", ""src_paper"": ""Brownian motion project"", ""body_head"": ""\\uses{def:L2M} Let $X \\in L^2(M)$ such that $\\langle X, V\\rangle = 0$ for any simple process $V$. Then for all $t$, $\\int_0^t X_s \\: d\\langl""}]"
"d272cf6f-3271-4d1b-825b-d877e1766513","Brownian motion project","RemyDegenne/brownian-motion","0.8452435731887817","True","ProbabilityTheory.isGaussianProcess_brownian","4","4","0","0","0","15","14","0","0","1","[]"
"da77afaf-a110-4ed2-a3d8-c7ed16de663f","Brownian motion project","RemyDegenne/brownian-motion","0.845085084438324","False","MeasureTheory.tendstoInMeasure_iff_tendsto_Lp_finite","3","3","0","0","0","13","12","1","0","0","[]"
"403409bd-37ef-4226-99bd-96ccfb31e03b","Fermat's Last Theorem","ImperialCollegeLondon/FLT","0.844981849193573","False","ZHat.nontrivial","1","1","0","0","0","1","1","0","0","0","[]"
"85ebfef2-030f-4eda-9407-829f54cb9885","The sphere eversion project","leanprover-community/sphere-eversion","0.8443341255187988","True","RelMfld.Ample.localize","2","2","0","0","0","8","8","0","0","0","[]"
"d9881244-3349-4606-b2d5-e2f4fc37de52","Brownian motion project","RemyDegenne/brownian-motion","0.8442399501800537","False","ProbabilityTheory.IsGaussianProcess","4","4","0","0","0","21","19","0","0","2","[]"
"3246a8a9-6ab8-4e25-880f-fc854f75501d","Gibbs Measures","YaelDillies/gibbs-measure","0.8442335724830627","False","ProbabilityTheory.condExpKernel, ProbabilityTheory.Kernel.IsCondExp","5","4","0","0","1","8","7","0","0","1","[{""sid"": ""1508e9b5-03cb-41c2-bc6f-06f933f23f37"", ""ref"": ""1.9"", ""label"": ""lem:cond-exp-proper-ker-lintegral"", ""kind"": ""lemma"", ""src_paper"": ""Gibbs Measures"", ""body_head"": ""\\uses{def:cond-exp-ker, def:proper-ker} If $\\pi \\in \\text{Ker}_{\\mathcal B, \\mathcal X}$ is a conditional expectation kernel for $\\mu$, then""}]"
"388f7310-4590-47b5-b0de-2c28a8558cfd","Fermat's Last Theorem","ImperialCollegeLondon/FLT","0.8439115285873413","True","QHat.unitsrat_join_unitszHat","1","1","0","0","0","0","0","0","0","0","[]"
"5c0fea7f-4402-46d6-8ec7-28d001d7d0fb","Fermat's Last Theorem","ImperialCollegeLondon/FLT","0.8437495827674866","False","Wiles_Taylor_Wiles","5","5","0","0","0","1","1","0","0","0","[]"
"127af732-9864-4a37-986d-14022097bdfa","Brownian motion project","RemyDegenne/brownian-motion","0.8436990976333618","False","ProbabilityTheory.finite_set_bound_of_edist_le_of_diam_le","7","7","0","0","0","31","31","0","0","0","[]"
"8f8dd04f-fe95-4ac5-81c6-232a61451509","The Polynomial Freiman-Ruzsa Conjecture","teorth/pfr","0.8434156179428101","False","symmGroup","4","4","0","0","0","24","24","0","0","0","[]"
"671041ce-7b11-4976-a704-04d1c848634a","Carleson operators on doubling metric measure spaces","fpvandoorn/carleson","0.8433544039726257","False","TileStructure.Forest.limited_scale_impact","3","3","0","0","0","10","10","0","0","0","[]"
"b61f5992-bc09-471a-9626-b149b6fc96db","Brownian motion project","RemyDegenne/brownian-motion","0.8433493375778198","False","ProbabilityTheory.covarianceBilin","3","3","0","0","0","11","11","0","0","0","[]"
"3062398c-e2d6-4dbd-94d8-71357a35014b","Brownian motion project","RemyDegenne/brownian-motion","0.8433331251144409","True","ProbabilityTheory.covMatrix_map","3","3","0","0","0","13","13","0","0","0","[]"
"08c9734c-eaaa-4669-8c53-6fc91ba23e42","The Polynomial Freiman-Ruzsa Conjecture","teorth/pfr","0.8429556488990784","False","ProbabilityTheory.max_condEntropy_sub_condMutualInfo_le_condEntropy_mul, ProbabilityTheory.max_condEntropy_sub_condMutualInfo_le_condEntropy_div","4","4","0","0","0","33","33","0","0","0","[]"
"de1bad42-12da-434b-880c-16f943cf532a","Fermat's Last Theorem","ImperialCollegeLondon/FLT","0.842496931552887","True","MeasureTheory.addEquivAddHaarChar_piCongrRight","3","3","0","0","0","2","2","0","0","0","[]"
"5eeb99c3-0dec-46b9-ba99-a5ca7deedcea","Carleson operators on doubling metric measure spaces","fpvandoorn/carleson","0.8424030542373657","True","partialFourierSum_bound","4","4","0","0","0","9","9","0","0","0","[]"
"fe99aa24-1225-40dd-b5d5-80b18b5b864b","Class Field Theory","kbuzzard/ClassFieldTheory","0.8422999382019043","True","groupCohomology.tateComplex.norm_comm, groupCohomology.tateComplex.normNatEnd","3","2","0","0","1","6","6","0","0","0","[{""sid"": ""5444e9ce-102f-4b0d-873b-d93f1bbea537"", ""ref"": ""16"", ""label"": ""lem:norm comm"", ""kind"": ""lemma"", ""src_paper"": ""Class Field Theory"", ""body_head"": ""\\uses{def:norm} For any $g \\in G$ and $m \\in M$ we have $g \\bullet N_G (m) = N_G (m)$ and $N_G (g \\bullet m) = N_G (m)$.""}]"
"c27ec289-a674-4700-99d3-afcbac38b70d","Gibbs Measures","YaelDillies/gibbs-measure","0.8422421813011169","False","MeasureTheory.ae_eq_lcondExp_of_forall_setLIntegral_eq","4","3","0","0","1","4","4","0","0","0","[{""sid"": ""1508e9b5-03cb-41c2-bc6f-06f933f23f37"", ""ref"": ""1.9"", ""label"": ""lem:cond-exp-proper-ker-lintegral"", ""kind"": ""lemma"", ""src_paper"": ""Gibbs Measures"", ""body_head"": ""\\uses{def:cond-exp-ker, def:proper-ker} If $\\pi \\in \\text{Ker}_{\\mathcal B, \\mathcal X}$ is a conditional expectation kernel for $\\mu$, then""}]"
"cf5aa5ac-d0ba-4b6e-872e-2406b113a474","Brownian motion project","RemyDegenne/brownian-motion","0.842210590839386","True","ProbabilityTheory.ContinuousMap.borel_eq_iSup_comap_eval","1","1","0","0","0","1","1","0","0","0","[]"
"98923e6d-1665-4eff-bc36-6ffadcab7210","Toric varieties","YaelDillies/toric","0.8412562012672424","True","AlgebraicGeometry.Scheme.charDiag","4","4","0","0","0","19","10","0","0","9","[]"
"e86d18f4-a92e-4fa0-b156-ed48b55860ec","Brownian motion project","RemyDegenne/brownian-motion","0.8412543535232544","True","isCoverWithBoundedCoveringNumber_Ico_nnreal","4","4","0","0","0","13","12","0","0","1","[]"
"53798a48-9363-4d6e-b778-7135702ca54a","Brownian motion project","RemyDegenne/brownian-motion","0.8409703969955444","True","MeasureTheory.UniformIntegrable.add","2","2","0","0","0","16","15","0","0","1","[]"
"69eacefc-e617-4226-89bf-357e71c14bf4","Toric varieties","YaelDillies/toric","0.8407799005508423","True","AlgebraicGeometry.Scheme.IsDiagonalisable","2","2","0","0","0","16","10","0","0","6","[]"
"2e3b443b-2139-4bdd-b9e5-697d37866f37","Brownian motion project","RemyDegenne/brownian-motion","0.8406867384910583","True","ProbabilityTheory.locally_classDL_iff_hasLocallyIntegrableSup","11","9","1","0","1","59","43","6","0","10","[{""sid"": ""20862796-ecfd-4743-90c5-f25dc1da27e0"", ""ref"": ""2.3.62"", ""label"": ""lem:Submartingale.locallyIntegrableSup"", ""kind"": ""lemma"", ""src_paper"": ""Brownian motion project"", ""body_head"": ""\\uses{def:Submartingale, def:locallyIntegrableSup, def:IsCadlag, def:rightContinuous} Every cadlag submartingale for a right-continuous filt""}]"
